pair_label,metric,statistic,pvalue,significant,effect_size,effect_magnitude,n_nonzero
D-23 MULTI-LAYER vs D-21 BASELINE,P@5,379.5,4.4825340317208596e-05,True,0.5986250661025911,large,61
D-23 MULTI-LAYER vs D-21 BASELINE,R@10,73.0,0.22481295838490334,False,0.3047619047619048,medium,20
D-23 MULTI-LAYER vs D-21 BASELINE,NDCG@10,1842.0,0.10372522851875504,False,0.19210526315789478,small,95
D-23 MULTI-LAYER vs D-21 BASELINE,MRR,13.0,0.0005759120100918857,True,0.8761904761904762,large,20
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,P@5,9.5,0.0013547210648892506,True,0.8758169934640523,large,17
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,R@10,8.5,0.0011994391462897172,True,0.8888888888888888,large,17
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,NDCG@10,57.5,0.014343438958999777,True,0.5833333333333333,large,23
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,MRR,0.0,0.125,False,1.0,large,4
D-22 SINGLE-LAYER vs D-21 BASELINE,P@5,1494.0,0.193613304132905,False,0.1630252100840336,small,84
D-22 SINGLE-LAYER vs D-21 BASELINE,R@10,277.0,2.103519284659692e-06,True,0.6972677595628416,large,60
D-22 SINGLE-LAYER vs D-21 BASELINE,NDCG@10,1275.0,0.00011816682714148259,True,0.4523195876288659,medium,96
D-22 SINGLE-LAYER vs D-21 BASELINE,MRR,56.5,0.06958687516246376,False,0.46190476190476193,medium,20
