pair_label,metric,statistic,pvalue,significant,effect_size,effect_magnitude,n_nonzero
D-23 MULTI-LAYER vs D-21 BASELINE,P@5,550.5,0.001008307400742289,True,0.4706730769230769,medium,64
D-23 MULTI-LAYER vs D-21 BASELINE,R@10,63.0,0.3226869798273849,False,0.26315789473684215,small,18
D-23 MULTI-LAYER vs D-21 BASELINE,NDCG@10,1775.0,0.0842343667333918,False,0.2049272116461366,small,94
D-23 MULTI-LAYER vs D-21 BASELINE,MRR,13.0,0.0005746298182678215,True,0.8761904761904762,large,20
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,P@5,19.0,0.005962954281902199,True,0.7516339869281046,large,17
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,R@10,10.5,0.0009985111463703524,True,0.8771929824561404,large,18
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,NDCG@10,62.5,0.02164949394024785,False,0.5471014492753623,large,23
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,MRR,4.0,0.4375,False,0.4666666666666667,medium,5
D-22 SINGLE-LAYER vs D-21 BASELINE,P@5,1494.0,0.193613304132905,False,0.1630252100840336,small,84
D-22 SINGLE-LAYER vs D-21 BASELINE,R@10,277.0,2.103519284659692e-06,True,0.6972677595628416,large,60
D-22 SINGLE-LAYER vs D-21 BASELINE,NDCG@10,1275.0,0.00011816682714148259,True,0.4523195876288659,medium,96
D-22 SINGLE-LAYER vs D-21 BASELINE,MRR,56.5,0.06958687516246376,False,0.46190476190476193,medium,20
