chunk_id,doc_filename,section_heading,tokens_raw,tokens_enriched,Corpus,Domain,Entity,Authority,Relationships,Section
000-codex_echo-cant.md#chunk_001,000-codex_echo-cant.md,# Echo-Cant,32,106,6,18,6,10,20,11.0
000-codex_echo-cant.md#chunk_002,000-codex_echo-cant.md,### 1. Identification and context,169,247,6,18,6,10,20,15.0
000-codex_echo-cant.md#chunk_003,000-codex_echo-cant.md,### 2. Mechanism of action (Layer 2 diagnostic),371,453,6,18,6,10,20,19.0
000-codex_echo-cant.md#chunk_004,000-codex_echo-cant.md,### 3. Field Card — Echo-dense chamber protocols,591,673,6,18,6,10,20,19.0
000-codex_echo-cant.md#chunk_005,000-codex_echo-cant.md,### 4. Interactions and failure surfaces,315,395,6,18,6,10,20,16.0
000-codex_echo-cant.md#chunk_006,000-codex_echo-cant.md,### 5. Doctrine and operational posture,392,471,6,18,6,10,20,16.0
000-codex_echo-cant.md#chunk_007,000-codex_echo-cant.md,### 7. Factional perspectives,444,521,6,18,6,10,20,14.0
000-codex_harrow-sick.md#chunk_001,000-codex_harrow-sick.md,# Harrow-Sick (Post-Glitch Degenerative Condition),32,107,6,18,10,10,14,15.0
000-codex_harrow-sick.md#chunk_002,000-codex_harrow-sick.md,### 1. Identification and context,175,250,6,18,10,10,14,15.0
000-codex_harrow-sick.md#chunk_003,000-codex_harrow-sick.md,### 2. Symptomology and progression,399,474,6,18,10,10,14,15.0
000-codex_harrow-sick.md#chunk_004,000-codex_harrow-sick.md,### 3. Proposed etiologies,287,361,6,18,10,10,14,14.0
000-codex_harrow-sick.md#chunk_005,000-codex_harrow-sick.md,### 4. Relationship to Void-Marked condition,157,234,6,18,10,10,14,16.0
000-codex_harrow-sick.md#chunk_006,000-codex_harrow-sick.md,### 5. Treatment and management,193,269,6,18,10,10,14,15.0
000-codex_harrow-sick.md#chunk_007,000-codex_harrow-sick.md,### 6. Field Card — Harrow-Sick identification protocol,144,223,6,18,10,10,14,19.0
000-codex_harrow-sick.md#chunk_008,000-codex_harrow-sick.md,### 7. Factional perspectives,505,579,6,18,10,10,14,14.0
000-codex_hela-caste-custodian.md#chunk_001,000-codex_hela-caste-custodian.md,# 💀 Hela-Caste Custodian Program (Huscarl-Class Bio-Augments),40,130,6,18,13,10,23,18.0
000-codex_hela-caste-custodian.md#chunk_002,000-codex_hela-caste-custodian.md,## Abstract,365,448,6,18,13,10,23,11.0
000-codex_hela-caste-custodian.md#chunk_003,000-codex_hela-caste-custodian.md,### 1.1 Operational Mandate,178,263,6,18,13,10,23,14.0
000-codex_hela-caste-custodian.md#chunk_004,000-codex_hela-caste-custodian.md,### 2.1 Subject Procurement,185,271,6,18,13,10,23,14.0
000-codex_hela-caste-custodian.md#chunk_005,000-codex_hela-caste-custodian.md,"### 2.2 The ""Iron Heart"": Geothermal Micro-Core Implantation",184,275,6,18,13,10,23,19.0
