pair_label,metric,statistic,pvalue,significant,effect_size,effect_magnitude,n_nonzero
D-23 MULTI-LAYER vs D-21 BASELINE,P@5,538.5,0.0020706378584415186,True,0.4485407066052227,medium,62
D-23 MULTI-LAYER vs D-21 BASELINE,R@10,128.5,0.5316700590278589,False,0.1433333333333333,small,24
D-23 MULTI-LAYER vs D-21 BASELINE,NDCG@10,11.0,5.430910947360415e-19,True,0.9961206136483866,large,106
D-23 MULTI-LAYER vs D-21 BASELINE,MRR,26.5,0.0006823518757859359,True,0.8079710144927537,large,23
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,P@5,20.0,0.00673346645349235,True,0.738562091503268,large,17
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,R@10,20.0,0.003941845684582808,True,0.7660818713450293,large,18
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,NDCG@10,0.0,2.4735962576351706e-07,True,1.0,large,35
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,MRR,0.0,0.125,False,1.0,large,4
D-22 SINGLE-LAYER vs D-21 BASELINE,P@5,1494.0,0.193613304132905,False,0.1630252100840336,small,84
D-22 SINGLE-LAYER vs D-21 BASELINE,R@10,277.0,2.103519284659692e-06,True,0.6972677595628416,large,60
D-22 SINGLE-LAYER vs D-21 BASELINE,NDCG@10,1275.0,0.00011816682714148259,True,0.4523195876288659,medium,96
D-22 SINGLE-LAYER vs D-21 BASELINE,MRR,56.5,0.06958687516246376,False,0.46190476190476193,medium,20
